Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 48949.798 | SilverWolf999: 36781.062 | ElationMC: 3429.763 | Sparxie: 8731.081 | HuoHuo: 5.790
Run    2: Team DPAV: 47147.220 | SilverWolf999: 34893.379 | ElationMC: 3244.733 | Sparxie: 9001.214 | HuoHuo: 5.790
Run    3: Team DPAV: 49801.018 | SilverWolf999: 37101.854 | ElationMC: 3364.893 | Sparxie: 9326.378 | HuoHuo: 5.790
Run    4: Team DPAV: 43478.636 | SilverWolf999: 31549.216 | ElationMC: 3151.560 | Sparxie: 8770.413 | HuoHuo: 5.345
Run    5: Team DPAV: 47077.929 | SilverWolf999: 35207.069 | ElationMC: 3352.076 | Sparxie: 8511.337 | HuoHuo: 5.345
Run    6: Team DPAV: 45596.160 | SilverWolf999: 33097.583 | ElationMC: 3361.779 | Sparxie: 9129.389 | HuoHuo: 5.306
Run    7: Team DPAV: 44311.239 | SilverWolf999: 32294.447 | ElationMC: 3206.222 | Sparxie: 8803.122 | HuoHuo: 5.345
Run    8: Team DPAV: 44312.381 | SilverWolf999: 32278.307 | ElationMC: 3232.567 | Sparxie: 8794.060 | HuoHuo: 5.345
Run    9: Team DPAV: 41215.819 | SilverWolf999: 29998.498 | ElationMC: 3170.922 | Sparxie: 8038.994 | HuoHuo: 5.302
Run   10: Team DPAV: 45687.421 | SilverWolf999: 33889.495 | ElationMC: 3171.841 | Sparxie: 8618.638 | HuoHuo: 5.345
Run   11: Team DPAV: 48402.331 | SilverWolf999: 36081.113 | ElationMC: 3277.216 | Sparxie: 9036.109 | HuoHuo: 5.790
Run   12: Team DPAV: 45661.248 | SilverWolf999: 33288.092 | ElationMC: 3234.950 | Sparxie: 9130.777 | HuoHuo: 5.327
Run   13: Team DPAV: 43493.982 | SilverWolf999: 31761.225 | ElationMC: 3141.567 | Sparxie: 8583.760 | HuoHuo: 5.327
Run   14: Team DPAV: 46410.449 | SilverWolf999: 34362.959 | ElationMC: 3331.849 | Sparxie: 8708.193 | HuoHuo: 5.345
Run   15: Team DPAV: 48850.812 | SilverWolf999: 36269.654 | ElationMC: 3368.372 | Sparxie: 9204.893 | HuoHuo: 5.790
Run   16: Team DPAV: 43826.612 | SilverWolf999: 31757.525 | ElationMC: 3184.469 | Sparxie: 8877.188 | HuoHuo: 5.327
Run   17: Team DPAV: 43030.975 | SilverWolf999: 31255.828 | ElationMC: 3168.336 | Sparxie: 8599.364 | HuoHuo: 5.345
Run   18: Team DPAV: 46435.399 | SilverWolf999: 34178.453 | ElationMC: 3196.588 | Sparxie: 9052.932 | HuoHuo: 5.323
Run   19: Team DPAV: 42968.586 | SilverWolf999: 31529.772 | ElationMC: 3185.944 | Sparxie: 8245.424 | HuoHuo: 5.345
Run   20: Team DPAV: 43257.700 | SilverWolf999: 31036.106 | ElationMC: 3205.514 | Sparxie: 9008.798 | HuoHuo: 5.179
Run   21: Team DPAV: 43374.005 | SilverWolf999: 31984.237 | ElationMC: 3128.839 | Sparxie: 8253.481 | HuoHuo: 5.345
Run   22: Team DPAV: 43735.958 | SilverWolf999: 31885.894 | ElationMC: 3190.588 | Sparxie: 8652.029 | HuoHuo: 5.345
Run   23: Team DPAV: 45024.336 | SilverWolf999: 33113.049 | ElationMC: 3329.273 | Sparxie: 8574.567 | HuoHuo: 5.345
Run   24: Team DPAV: 50208.277 | SilverWolf999: 37074.964 | ElationMC: 3387.589 | Sparxie: 9737.832 | HuoHuo: 5.790
Run   25: Team DPAV: 41904.678 | SilverWolf999: 30658.645 | ElationMC: 3096.426 | Sparxie: 8142.160 | HuoHuo: 5.345
