Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 45879.150 | SilverWolf999: 33477.000 | ElationMC: 5604.886 | YaoGuang: 6497.400 | HuoHuo: 9.383
Run    2: Team DPAV: 44261.608 | SilverWolf999: 31913.973 | ElationMC: 5396.341 | YaoGuang: 6651.430 | HuoHuo: 9.383
Run    3: Team DPAV: 43539.390 | SilverWolf999: 31269.306 | ElationMC: 5411.841 | YaoGuang: 6587.427 | HuoHuo: 9.383
Run    4: Team DPAV: 42663.577 | SilverWolf999: 30350.093 | ElationMC: 5502.928 | YaoGuang: 6554.264 | HuoHuo: 9.383
Run    5: Team DPAV: 43562.281 | SilverWolf999: 31564.061 | ElationMC: 5378.917 | YaoGuang: 6348.487 | HuoHuo: 9.383
Run    6: Team DPAV: 42327.206 | SilverWolf999: 30471.019 | ElationMC: 5247.195 | YaoGuang: 6338.176 | HuoHuo: 9.383
Run    7: Team DPAV: 45324.872 | SilverWolf999: 32821.974 | ElationMC: 5463.265 | YaoGuang: 6768.817 | HuoHuo: 9.383
Run    8: Team DPAV: 44819.535 | SilverWolf999: 32279.273 | ElationMC: 5494.828 | YaoGuang: 6716.521 | HuoHuo: 9.383
Run    9: Team DPAV: 44835.961 | SilverWolf999: 32122.494 | ElationMC: 5591.293 | YaoGuang: 6822.311 | HuoHuo: 9.383
Run   10: Team DPAV: 44713.917 | SilverWolf999: 32139.076 | ElationMC: 5559.715 | YaoGuang: 6744.310 | HuoHuo: 9.383
Run   11: Team DPAV: 42495.745 | SilverWolf999: 30707.189 | ElationMC: 5261.647 | YaoGuang: 6256.093 | HuoHuo: 9.383
Run   12: Team DPAV: 46390.546 | SilverWolf999: 33921.364 | ElationMC: 5501.968 | YaoGuang: 6696.399 | HuoHuo: 9.383
Run   13: Team DPAV: 42769.912 | SilverWolf999: 30757.390 | ElationMC: 5431.153 | YaoGuang: 6281.506 | HuoHuo: 9.383
Run   14: Team DPAV: 43421.304 | SilverWolf999: 31063.472 | ElationMC: 5380.792 | YaoGuang: 6677.176 | HuoHuo: 9.383
Run   15: Team DPAV: 43572.149 | SilverWolf999: 31806.188 | ElationMC: 5254.740 | YaoGuang: 6211.357 | HuoHuo: 9.383
Run   16: Team DPAV: 46081.026 | SilverWolf999: 33845.446 | ElationMC: 5563.567 | YaoGuang: 6401.198 | HuoHuo: 9.383
Run   17: Team DPAV: 44477.771 | SilverWolf999: 31929.303 | ElationMC: 5513.260 | YaoGuang: 6735.344 | HuoHuo: 9.383
Run   18: Team DPAV: 46156.762 | SilverWolf999: 33979.155 | ElationMC: 5539.855 | YaoGuang: 6366.937 | HuoHuo: 9.383
Run   19: Team DPAV: 42659.753 | SilverWolf999: 30678.686 | ElationMC: 5269.469 | YaoGuang: 6411.734 | HuoHuo: 9.383
Run   20: Team DPAV: 44308.793 | SilverWolf999: 32178.301 | ElationMC: 5504.893 | YaoGuang: 6354.783 | HuoHuo: 9.383
Run   21: Team DPAV: 44148.139 | SilverWolf999: 31836.694 | ElationMC: 5556.809 | YaoGuang: 6454.773 | HuoHuo: 9.383
Run   22: Team DPAV: 44392.587 | SilverWolf999: 32166.692 | ElationMC: 5521.051 | YaoGuang: 6404.981 | HuoHuo: 9.383
Run   23: Team DPAV: 46120.866 | SilverWolf999: 33451.749 | ElationMC: 5547.195 | YaoGuang: 6793.011 | HuoHuo: 9.383
