Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 44821.983 | SilverWolf999: 35265.598 | YaoGuang: 4753.203 | ElationMC: 4794.528 | HuoHuo: 8.653
Run    2: Team DPAV: 47482.713 | SilverWolf999: 37829.964 | YaoGuang: 4811.029 | ElationMC: 4833.067 | HuoHuo: 8.653
Run    3: Team DPAV: 43761.540 | SilverWolf999: 34349.012 | YaoGuang: 4704.684 | ElationMC: 4699.190 | HuoHuo: 8.653
Run    4: Team DPAV: 48100.221 | SilverWolf999: 38306.131 | YaoGuang: 4903.836 | ElationMC: 4881.601 | HuoHuo: 8.653
Run    5: Team DPAV: 47990.818 | SilverWolf999: 38360.923 | YaoGuang: 4829.233 | ElationMC: 4792.009 | HuoHuo: 8.653
Run    6: Team DPAV: 47860.404 | SilverWolf999: 38245.063 | YaoGuang: 4682.540 | ElationMC: 4924.148 | HuoHuo: 8.653
Run    7: Team DPAV: 48313.032 | SilverWolf999: 38890.240 | YaoGuang: 4677.571 | ElationMC: 4736.568 | HuoHuo: 8.653
Run    8: Team DPAV: 43289.716 | SilverWolf999: 33796.848 | YaoGuang: 4750.799 | ElationMC: 4733.415 | HuoHuo: 8.653
Run    9: Team DPAV: 47544.839 | SilverWolf999: 37709.786 | YaoGuang: 4878.332 | ElationMC: 4948.068 | HuoHuo: 8.653
Run   10: Team DPAV: 46928.041 | SilverWolf999: 37389.939 | YaoGuang: 4654.521 | ElationMC: 4874.928 | HuoHuo: 8.653
Run   11: Team DPAV: 46373.763 | SilverWolf999: 36996.412 | YaoGuang: 4617.997 | ElationMC: 4750.700 | HuoHuo: 8.653
Run   12: Team DPAV: 44746.590 | SilverWolf999: 35345.317 | YaoGuang: 4722.836 | ElationMC: 4669.783 | HuoHuo: 8.653
Run   13: Team DPAV: 43068.485 | SilverWolf999: 33686.721 | YaoGuang: 4727.435 | ElationMC: 4645.676 | HuoHuo: 8.653
Run   14: Team DPAV: 47443.587 | SilverWolf999: 38086.812 | YaoGuang: 4673.303 | ElationMC: 4674.818 | HuoHuo: 8.653
Run   15: Team DPAV: 48428.332 | SilverWolf999: 39098.829 | YaoGuang: 4663.179 | ElationMC: 4657.670 | HuoHuo: 8.653
Run   16: Team DPAV: 48195.979 | SilverWolf999: 38745.133 | YaoGuang: 4643.744 | ElationMC: 4798.448 | HuoHuo: 8.653
Run   17: Team DPAV: 54206.866 | SilverWolf999: 44501.198 | YaoGuang: 4814.094 | ElationMC: 4882.556 | HuoHuo: 9.018
Run   18: Team DPAV: 47752.204 | SilverWolf999: 38065.260 | YaoGuang: 4849.951 | ElationMC: 4828.340 | HuoHuo: 8.653
Run   19: Team DPAV: 47209.387 | SilverWolf999: 37646.885 | YaoGuang: 4665.544 | ElationMC: 4888.304 | HuoHuo: 8.653
Run   20: Team DPAV: 48243.100 | SilverWolf999: 38644.596 | YaoGuang: 4810.391 | ElationMC: 4779.459 | HuoHuo: 8.653
Run   21: Team DPAV: 47148.798 | SilverWolf999: 37867.451 | YaoGuang: 4520.621 | ElationMC: 4752.073 | HuoHuo: 8.653
Run   22: Team DPAV: 48045.103 | SilverWolf999: 38445.087 | YaoGuang: 4771.338 | ElationMC: 4820.024 | HuoHuo: 8.653
Run   23: Team DPAV: 46103.639 | SilverWolf999: 36835.134 | YaoGuang: 4602.534 | ElationMC: 4657.318 | HuoHuo: 8.653
Run   24: Team DPAV: 42670.963 | SilverWolf999: 33337.048 | YaoGuang: 4640.487 | ElationMC: 4684.775 | HuoHuo: 8.653
Run   25: Team DPAV: 50789.793 | SilverWolf999: 41025.204 | YaoGuang: 4800.613 | ElationMC: 4955.322 | HuoHuo: 8.653
Run   26: Team DPAV: 46107.280 | SilverWolf999: 36501.863 | YaoGuang: 4764.891 | ElationMC: 4831.873 | HuoHuo: 8.653
Run   27: Team DPAV: 50617.787 | SilverWolf999: 41013.408 | YaoGuang: 4774.580 | ElationMC: 4820.780 | HuoHuo: 9.018
Run   28: Team DPAV: 45988.550 | SilverWolf999: 36339.020 | YaoGuang: 4858.389 | ElationMC: 4782.487 | HuoHuo: 8.653
Run   29: Team DPAV: 44326.182 | SilverWolf999: 35077.708 | YaoGuang: 4593.236 | ElationMC: 4646.585 | HuoHuo: 8.653
Run   30: Team DPAV: 53876.781 | SilverWolf999: 44216.272 | YaoGuang: 4805.722 | ElationMC: 4845.769 | HuoHuo: 9.018
Run   31: Team DPAV: 46064.519 | SilverWolf999: 36818.507 | YaoGuang: 4692.271 | ElationMC: 4545.089 | HuoHuo: 8.653
Run   32: Team DPAV: 47164.676 | SilverWolf999: 37539.650 | YaoGuang: 4750.107 | ElationMC: 4866.264 | HuoHuo: 8.653
Run   33: Team DPAV: 45303.342 | SilverWolf999: 35842.980 | YaoGuang: 4635.381 | ElationMC: 4816.328 | HuoHuo: 8.653
Run   34: Team DPAV: 48475.141 | SilverWolf999: 38901.876 | YaoGuang: 4701.170 | ElationMC: 4863.442 | HuoHuo: 8.653
Run   35: Team DPAV: 44381.802 | SilverWolf999: 35077.810 | YaoGuang: 4644.435 | ElationMC: 4650.904 | HuoHuo: 8.653
Run   36: Team DPAV: 46731.513 | SilverWolf999: 37408.267 | YaoGuang: 4680.054 | ElationMC: 4634.539 | HuoHuo: 8.653
Run   37: Team DPAV: 46694.444 | SilverWolf999: 37397.280 | YaoGuang: 4629.262 | ElationMC: 4659.248 | HuoHuo: 8.653
Run   38: Team DPAV: 49566.611 | SilverWolf999: 40026.802 | YaoGuang: 4792.457 | ElationMC: 4738.699 | HuoHuo: 8.653
Run   39: Team DPAV: 48134.602 | SilverWolf999: 38833.919 | YaoGuang: 4644.245 | ElationMC: 4647.785 | HuoHuo: 8.653
Run   40: Team DPAV: 47516.603 | SilverWolf999: 38008.607 | YaoGuang: 4637.574 | ElationMC: 4861.768 | HuoHuo: 8.653
Run   41: Team DPAV: 44255.110 | SilverWolf999: 34917.221 | YaoGuang: 4687.458 | ElationMC: 4641.777 | HuoHuo: 8.653
Run   42: Team DPAV: 48037.133 | SilverWolf999: 38221.051 | YaoGuang: 4930.341 | ElationMC: 4877.088 | HuoHuo: 8.653
Run   43: Team DPAV: 44859.548 | SilverWolf999: 35403.768 | YaoGuang: 4660.047 | ElationMC: 4787.079 | HuoHuo: 8.653
Run   44: Team DPAV: 44293.024 | SilverWolf999: 35002.996 | YaoGuang: 4642.000 | ElationMC: 4639.375 | HuoHuo: 8.653
Run   45: Team DPAV: 48592.206 | SilverWolf999: 38626.724 | YaoGuang: 4958.538 | ElationMC: 4998.291 | HuoHuo: 8.653
Run   46: Team DPAV: 47915.000 | SilverWolf999: 38293.241 | YaoGuang: 4843.946 | ElationMC: 4769.159 | HuoHuo: 8.653
Run   47: Team DPAV: 46862.102 | SilverWolf999: 37563.235 | YaoGuang: 4627.680 | ElationMC: 4662.533 | HuoHuo: 8.653
