Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 99326.737 | SilverWolf999: 80082.396 | YaoGuang: 7166.343 | HuoHuo: 7.176 | Sparxie: 11747.581
Run    2: Team DPAV: 98889.893 | SilverWolf999: 79280.108 | YaoGuang: 7601.247 | HuoHuo: 6.458 | Sparxie: 11718.953
Run    3: Team DPAV: 91143.801 | SilverWolf999: 72030.607 | YaoGuang: 7321.393 | HuoHuo: 6.458 | Sparxie: 11502.216
Run    4: Team DPAV: 88407.553 | SilverWolf999: 69427.120 | YaoGuang: 7064.903 | HuoHuo: 7.176 | Sparxie: 11585.113
Run    5: Team DPAV: 87204.037 | SilverWolf999: 68692.986 | YaoGuang: 7362.931 | HuoHuo: 6.458 | Sparxie: 10818.421
Run    6: Team DPAV: 86163.305 | SilverWolf999: 68263.602 | YaoGuang: 6760.230 | HuoHuo: 6.458 | Sparxie: 10809.774
Run    7: Team DPAV: 83392.446 | SilverWolf999: 64022.747 | YaoGuang: 7339.989 | HuoHuo: 6.458 | Sparxie: 11740.125
Run    8: Team DPAV: 82960.466 | SilverWolf999: 65661.241 | YaoGuang: 6812.632 | HuoHuo: 6.458 | Sparxie: 10223.750
Run    9: Team DPAV: 86151.633 | SilverWolf999: 67637.566 | YaoGuang: 6952.066 | HuoHuo: 6.458 | Sparxie: 11232.301
Run   10: Team DPAV: 89312.920 | SilverWolf999: 70490.239 | YaoGuang: 7032.518 | HuoHuo: 6.458 | Sparxie: 11460.464
Run   11: Team DPAV: 77701.967 | SilverWolf999: 59260.998 | YaoGuang: 7194.818 | HuoHuo: 6.458 | Sparxie: 10956.566
Run   12: Team DPAV: 83283.937 | SilverWolf999: 65196.105 | YaoGuang: 6800.448 | HuoHuo: 6.458 | Sparxie: 11051.285
Run   13: Team DPAV: 97624.940 | SilverWolf999: 78076.116 | YaoGuang: 7419.945 | HuoHuo: 6.458 | Sparxie: 11839.295
Run   14: Team DPAV: 79594.936 | SilverWolf999: 61723.146 | YaoGuang: 6776.966 | HuoHuo: 6.458 | Sparxie: 10765.126
Run   15: Team DPAV: 82970.602 | SilverWolf999: 64970.075 | YaoGuang: 6703.916 | HuoHuo: 7.176 | Sparxie: 10966.195
Run   16: Team DPAV: 87378.108 | SilverWolf999: 67950.888 | YaoGuang: 7568.972 | HuoHuo: 6.458 | Sparxie: 11568.663
Run   17: Team DPAV: 92395.573 | SilverWolf999: 74014.719 | YaoGuang: 7149.660 | HuoHuo: 6.458 | Sparxie: 10941.609
Run   18: Team DPAV: 97472.027 | SilverWolf999: 77747.066 | YaoGuang: 7312.119 | HuoHuo: 7.176 | Sparxie: 12082.426
Run   19: Team DPAV: 79546.045 | SilverWolf999: 61258.689 | YaoGuang: 6914.598 | HuoHuo: 7.176 | Sparxie: 11042.342
Run   20: Team DPAV: 82797.251 | SilverWolf999: 64213.601 | YaoGuang: 7172.562 | HuoHuo: 7.176 | Sparxie: 11080.672
Run   21: Team DPAV: 95902.836 | SilverWolf999: 76642.047 | YaoGuang: 7366.749 | HuoHuo: 6.458 | Sparxie: 11644.569
Run   22: Team DPAV: 95766.047 | SilverWolf999: 76620.801 | YaoGuang: 7413.498 | HuoHuo: 6.458 | Sparxie: 11442.163
Run   23: Team DPAV: 100468.074 | SilverWolf999: 81021.259 | YaoGuang: 7521.078 | HuoHuo: 6.458 | Sparxie: 11676.267
Run   24: Team DPAV: 102271.659 | SilverWolf999: 82920.013 | YaoGuang: 7265.108 | HuoHuo: 7.176 | Sparxie: 11756.122
Run   25: Team DPAV: 78158.535 | SilverWolf999: 60617.076 | YaoGuang: 6640.965 | HuoHuo: 6.458 | Sparxie: 10570.794
Run   26: Team DPAV: 82078.387 | SilverWolf999: 63201.959 | YaoGuang: 7086.018 | HuoHuo: 7.176 | Sparxie: 11459.993
Run   27: Team DPAV: 78249.233 | SilverWolf999: 61394.618 | YaoGuang: 6578.946 | HuoHuo: 6.458 | Sparxie: 9972.712
Run   28: Team DPAV: 93873.435 | SilverWolf999: 75082.031 | YaoGuang: 7231.524 | HuoHuo: 7.176 | Sparxie: 11229.464
Run   29: Team DPAV: 94800.157 | SilverWolf999: 75624.612 | YaoGuang: 7268.619 | HuoHuo: 6.458 | Sparxie: 11577.227
Run   30: Team DPAV: 84246.470 | SilverWolf999: 65363.895 | YaoGuang: 7215.886 | HuoHuo: 6.458 | Sparxie: 11377.104
Run   31: Team DPAV: 78268.866 | SilverWolf999: 60517.559 | YaoGuang: 6640.382 | HuoHuo: 6.458 | Sparxie: 10781.227
Run   32: Team DPAV: 88273.460 | SilverWolf999: 70392.399 | YaoGuang: 6813.211 | HuoHuo: 6.458 | Sparxie: 10778.265
Run   33: Team DPAV: 94768.876 | SilverWolf999: 75760.981 | YaoGuang: 6921.045 | HuoHuo: 7.176 | Sparxie: 11756.434
Run   34: Team DPAV: 83610.966 | SilverWolf999: 64973.834 | YaoGuang: 7285.984 | HuoHuo: 6.458 | Sparxie: 11061.563
Run   35: Team DPAV: 82275.921 | SilverWolf999: 64192.575 | YaoGuang: 6969.535 | HuoHuo: 6.458 | Sparxie: 10824.225
Run   36: Team DPAV: 103247.214 | SilverWolf999: 83497.125 | YaoGuang: 7404.114 | HuoHuo: 7.176 | Sparxie: 12015.559
Run   37: Team DPAV: 92313.230 | SilverWolf999: 73008.498 | YaoGuang: 7183.097 | HuoHuo: 7.176 | Sparxie: 11791.219
Run   38: Team DPAV: 84032.815 | SilverWolf999: 65839.563 | YaoGuang: 6896.845 | HuoHuo: 6.458 | Sparxie: 11006.823
Run   39: Team DPAV: 97588.479 | SilverWolf999: 77921.827 | YaoGuang: 7318.790 | HuoHuo: 7.176 | Sparxie: 12017.445
