Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 32409.384 | Sparxie: 17380.822 | YaoGuang: 7472.392 | Luocha: 166.364 | ElationMC: 7101.984
Run    2: Team DPAV: 32753.716 | Sparxie: 17582.421 | YaoGuang: 7519.129 | Luocha: 213.234 | ElationMC: 7146.016
Run    3: Team DPAV: 32350.083 | Sparxie: 17199.860 | YaoGuang: 7536.893 | Luocha: 173.721 | ElationMC: 7151.786
Run    4: Team DPAV: 32473.227 | Sparxie: 17209.493 | YaoGuang: 7557.206 | Luocha: 212.611 | ElationMC: 7188.265
Run    5: Team DPAV: 32260.486 | Sparxie: 17208.316 | YaoGuang: 7481.096 | Luocha: 173.721 | ElationMC: 7104.436
Run    6: Team DPAV: 32765.519 | Sparxie: 17582.339 | YaoGuang: 7551.691 | Luocha: 164.378 | ElationMC: 7161.460
Run    7: Team DPAV: 33874.327 | Sparxie: 18413.941 | YaoGuang: 7630.286 | Luocha: 166.364 | ElationMC: 7358.085
Run    8: Team DPAV: 32147.274 | Sparxie: 17114.087 | YaoGuang: 7466.442 | Luocha: 173.721 | ElationMC: 7100.107
Run    9: Team DPAV: 33837.361 | Sparxie: 18245.310 | YaoGuang: 7684.868 | Luocha: 169.839 | ElationMC: 7444.428
Run   10: Team DPAV: 33034.706 | Sparxie: 17781.616 | YaoGuang: 7514.277 | Luocha: 164.793 | ElationMC: 7286.198
Run   11: Team DPAV: 33242.954 | Sparxie: 17906.994 | YaoGuang: 7628.890 | Luocha: 213.234 | ElationMC: 7200.919
Run   12: Team DPAV: 32102.878 | Sparxie: 17198.929 | YaoGuang: 7411.873 | Luocha: 166.364 | ElationMC: 7037.891
Run   13: Team DPAV: 34916.843 | Sparxie: 19180.561 | YaoGuang: 7769.779 | Luocha: 173.721 | ElationMC: 7494.771
Run   14: Team DPAV: 34852.530 | Sparxie: 18989.224 | YaoGuang: 7806.121 | Luocha: 173.721 | ElationMC: 7577.813
Run   15: Team DPAV: 33938.242 | Sparxie: 18503.173 | YaoGuang: 7626.778 | Luocha: 212.912 | ElationMC: 7302.462
Run   16: Team DPAV: 32330.281 | Sparxie: 17226.105 | YaoGuang: 7525.807 | Luocha: 173.721 | ElationMC: 7106.637
Run   17: Team DPAV: 32615.063 | Sparxie: 17561.217 | YaoGuang: 7474.020 | Luocha: 176.446 | ElationMC: 7110.464
Run   18: Team DPAV: 32939.413 | Sparxie: 17833.223 | YaoGuang: 7536.255 | Luocha: 173.721 | ElationMC: 7108.392
Run   19: Team DPAV: 32556.971 | Sparxie: 17577.853 | YaoGuang: 7442.035 | Luocha: 173.098 | ElationMC: 7071.069
Run   20: Team DPAV: 32291.976 | Sparxie: 17304.150 | YaoGuang: 7452.179 | Luocha: 171.735 | ElationMC: 7070.996
Run   21: Team DPAV: 34514.264 | Sparxie: 19043.872 | YaoGuang: 7653.898 | Luocha: 164.793 | ElationMC: 7358.785
Run   22: Team DPAV: 32192.707 | Sparxie: 16937.946 | YaoGuang: 7550.151 | Luocha: 171.735 | ElationMC: 7227.223
Run   23: Team DPAV: 33913.179 | Sparxie: 18386.726 | YaoGuang: 7622.088 | Luocha: 172.827 | ElationMC: 7425.887
Run   24: Team DPAV: 32414.559 | Sparxie: 17345.079 | YaoGuang: 7499.130 | Luocha: 173.721 | ElationMC: 7108.807
Run   25: Team DPAV: 32892.212 | Sparxie: 17697.573 | YaoGuang: 7474.347 | Luocha: 171.735 | ElationMC: 7260.735
Run   26: Team DPAV: 32226.355 | Sparxie: 17173.833 | YaoGuang: 7503.539 | Luocha: 173.721 | ElationMC: 7087.440
Run   27: Team DPAV: 33795.824 | Sparxie: 18320.973 | YaoGuang: 7585.581 | Luocha: 175.823 | ElationMC: 7407.796
Run   28: Team DPAV: 33383.668 | Sparxie: 18124.024 | YaoGuang: 7576.187 | Luocha: 173.721 | ElationMC: 7204.084
Run   29: Team DPAV: 32347.230 | Sparxie: 17176.184 | YaoGuang: 7531.631 | Luocha: 213.234 | ElationMC: 7138.358
Run   30: Team DPAV: 34607.471 | Sparxie: 19203.187 | YaoGuang: 7605.841 | Luocha: 173.450 | ElationMC: 7337.171
Run   31: Team DPAV: 32184.685 | Sparxie: 17085.050 | YaoGuang: 7522.741 | Luocha: 212.933 | ElationMC: 7071.044
Run   32: Team DPAV: 34278.563 | Sparxie: 18962.851 | YaoGuang: 7541.416 | Luocha: 164.378 | ElationMC: 7322.096
Run   33: Team DPAV: 32545.861 | Sparxie: 17422.989 | YaoGuang: 7514.633 | Luocha: 169.839 | ElationMC: 7132.747
Run   34: Team DPAV: 34620.295 | Sparxie: 18752.678 | YaoGuang: 7889.926 | Luocha: 213.382 | ElationMC: 7504.505
Run   35: Team DPAV: 34128.358 | Sparxie: 18442.584 | YaoGuang: 7741.428 | Luocha: 174.813 | ElationMC: 7463.881
Run   36: Team DPAV: 29347.484 | Sparxie: 15701.647 | YaoGuang: 6740.864 | Luocha: 169.839 | ElationMC: 6447.312
Run   37: Team DPAV: 32811.557 | Sparxie: 17583.907 | YaoGuang: 7607.635 | Luocha: 173.721 | ElationMC: 7158.472
Run   38: Team DPAV: 34424.739 | Sparxie: 18801.748 | YaoGuang: 7723.955 | Luocha: 171.825 | ElationMC: 7421.559
Run   39: Team DPAV: 32351.121 | Sparxie: 17295.403 | YaoGuang: 7482.308 | Luocha: 171.735 | ElationMC: 7113.853
Run   40: Team DPAV: 34303.765 | Sparxie: 18835.668 | YaoGuang: 7665.520 | Luocha: 211.339 | ElationMC: 7303.416
Run   41: Team DPAV: 33280.582 | Sparxie: 17883.348 | YaoGuang: 7648.330 | Luocha: 177.809 | ElationMC: 7265.444
Run   42: Team DPAV: 36015.834 | Sparxie: 20113.948 | YaoGuang: 7900.888 | Luocha: 175.765 | ElationMC: 7565.428
Run   43: Team DPAV: 36341.821 | Sparxie: 20331.179 | YaoGuang: 7893.919 | Luocha: 177.809 | ElationMC: 7640.903
Run   44: Team DPAV: 35451.809 | Sparxie: 19644.580 | YaoGuang: 7785.038 | Luocha: 211.339 | ElationMC: 7505.202
Run   45: Team DPAV: 35853.141 | Sparxie: 20011.223 | YaoGuang: 7824.186 | Luocha: 175.765 | ElationMC: 7582.163
Run   46: Team DPAV: 33704.084 | Sparxie: 18387.713 | YaoGuang: 7555.636 | Luocha: 166.093 | ElationMC: 7306.821
Run   47: Team DPAV: 32096.641 | Sparxie: 17035.548 | YaoGuang: 7490.731 | Luocha: 212.933 | ElationMC: 7069.606
Run   48: Team DPAV: 31916.530 | Sparxie: 16893.282 | YaoGuang: 7453.296 | Luocha: 212.933 | ElationMC: 7064.103
Run   49: Team DPAV: 35226.230 | Sparxie: 19404.052 | YaoGuang: 7807.583 | Luocha: 212.964 | ElationMC: 7495.980
Run   50: Team DPAV: 36182.450 | Sparxie: 20117.369 | YaoGuang: 7945.788 | Luocha: 210.509 | ElationMC: 7603.132
Run   51: Team DPAV: 34823.931 | Sparxie: 19117.336 | YaoGuang: 7756.810 | Luocha: 211.339 | ElationMC: 7450.625
Run   52: Team DPAV: 31682.257 | Sparxie: 16667.746 | YaoGuang: 7451.517 | Luocha: 173.721 | ElationMC: 7101.450
Run   53: Team DPAV: 32285.921 | Sparxie: 17161.058 | YaoGuang: 7510.328 | Luocha: 175.084 | ElationMC: 7151.629
Run   54: Team DPAV: 32253.004 | Sparxie: 17088.228 | YaoGuang: 7542.644 | Luocha: 205.877 | ElationMC: 7118.245
Run   55: Team DPAV: 34388.504 | Sparxie: 18640.407 | YaoGuang: 7756.083 | Luocha: 211.637 | ElationMC: 7520.573
Run   56: Team DPAV: 34937.455 | Sparxie: 19101.781 | YaoGuang: 7857.563 | Luocha: 213.382 | ElationMC: 7504.926
Run   57: Team DPAV: 32333.916 | Sparxie: 17456.878 | YaoGuang: 7361.279 | Luocha: 168.115 | ElationMC: 7041.992
Run   58: Team DPAV: 32829.621 | Sparxie: 17583.188 | YaoGuang: 7492.533 | Luocha: 173.098 | ElationMC: 7282.792
Run   59: Team DPAV: 34071.742 | Sparxie: 18458.331 | YaoGuang: 7712.375 | Luocha: 175.765 | ElationMC: 7465.467
Run   60: Team DPAV: 32586.540 | Sparxie: 17464.231 | YaoGuang: 7541.388 | Luocha: 166.364 | ElationMC: 7126.736
Run   61: Team DPAV: 33607.571 | Sparxie: 18216.311 | YaoGuang: 7572.459 | Luocha: 213.234 | ElationMC: 7317.745
Run   62: Team DPAV: 31749.825 | Sparxie: 16776.158 | YaoGuang: 7423.568 | Luocha: 166.364 | ElationMC: 7095.914
Run   63: Team DPAV: 32792.214 | Sparxie: 17713.321 | YaoGuang: 7464.630 | Luocha: 173.721 | ElationMC: 7147.625
Run   64: Team DPAV: 33291.255 | Sparxie: 17936.423 | YaoGuang: 7659.993 | Luocha: 210.509 | ElationMC: 7178.678
Run   65: Team DPAV: 35566.801 | Sparxie: 19543.606 | YaoGuang: 7904.987 | Luocha: 213.234 | ElationMC: 7599.322
Run   66: Team DPAV: 33402.896 | Sparxie: 18164.181 | YaoGuang: 7547.604 | Luocha: 170.433 | ElationMC: 7232.857
Run   67: Team DPAV: 32315.763 | Sparxie: 17255.960 | YaoGuang: 7481.299 | Luocha: 166.364 | ElationMC: 7124.318
Run   68: Team DPAV: 32557.974 | Sparxie: 17502.774 | YaoGuang: 7514.627 | Luocha: 173.721 | ElationMC: 7079.030
Run   69: Team DPAV: 35019.388 | Sparxie: 19327.416 | YaoGuang: 7747.282 | Luocha: 174.813 | ElationMC: 7464.225
Run   70: Team DPAV: 37701.030 | Sparxie: 20581.742 | YaoGuang: 8495.862 | Luocha: 213.916 | ElationMC: 8149.707
Run   71: Team DPAV: 34779.153 | Sparxie: 19300.342 | YaoGuang: 7652.780 | Luocha: 173.450 | ElationMC: 7364.758
Run   72: Team DPAV: 34343.754 | Sparxie: 18763.570 | YaoGuang: 7676.623 | Luocha: 164.793 | ElationMC: 7445.851
Run   73: Team DPAV: 32226.500 | Sparxie: 17234.313 | YaoGuang: 7445.430 | Luocha: 173.721 | ElationMC: 7085.214
Run   74: Team DPAV: 32284.956 | Sparxie: 17176.888 | YaoGuang: 7495.634 | Luocha: 176.446 | ElationMC: 7130.336
Run   75: Team DPAV: 32316.321 | Sparxie: 17145.858 | YaoGuang: 7559.085 | Luocha: 203.152 | ElationMC: 7120.405
Run   76: Team DPAV: 32206.740 | Sparxie: 17181.475 | YaoGuang: 7462.617 | Luocha: 166.364 | ElationMC: 7103.368
Run   77: Team DPAV: 35935.985 | Sparxie: 20175.511 | YaoGuang: 7756.275 | Luocha: 175.765 | ElationMC: 7568.629
Run   78: Team DPAV: 35799.706 | Sparxie: 20105.181 | YaoGuang: 7722.647 | Luocha: 173.450 | ElationMC: 7500.417
Run   79: Team DPAV: 33071.227 | Sparxie: 17778.456 | YaoGuang: 7600.492 | Luocha: 166.364 | ElationMC: 7220.264
Run   80: Team DPAV: 31995.414 | Sparxie: 17003.085 | YaoGuang: 7430.622 | Luocha: 173.721 | ElationMC: 7095.069
Run   81: Team DPAV: 34230.487 | Sparxie: 18563.464 | YaoGuang: 7735.020 | Luocha: 173.450 | ElationMC: 7452.901
Run   82: Team DPAV: 32223.154 | Sparxie: 17225.929 | YaoGuang: 7426.664 | Luocha: 173.721 | ElationMC: 7098.829
Run   83: Team DPAV: 34242.750 | Sparxie: 18895.282 | YaoGuang: 7571.714 | Luocha: 173.450 | ElationMC: 7309.387
Run   84: Team DPAV: 33026.291 | Sparxie: 17843.985 | YaoGuang: 7556.341 | Luocha: 173.721 | ElationMC: 7154.233
Run   85: Team DPAV: 32058.494 | Sparxie: 17088.479 | YaoGuang: 7434.894 | Luocha: 166.364 | ElationMC: 7080.936
Run   86: Team DPAV: 34785.280 | Sparxie: 19021.726 | YaoGuang: 7820.941 | Luocha: 204.306 | ElationMC: 7450.485
