Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 520817.944 | Sparxie: 372998.738 | YaoGuang: 145152.954 | Luocha: 1863.105 | Sparkle: 0.000
Run    2: Team DPAV: 483423.432 | Sparxie: 336639.800 | YaoGuang: 144126.166 | Luocha: 1874.003 | Sparkle: 0.000
Run    3: Team DPAV: 482682.882 | Sparxie: 336874.654 | YaoGuang: 143333.857 | Luocha: 1857.581 | Sparkle: 0.000
Run    4: Team DPAV: 478644.406 | Sparxie: 337231.509 | YaoGuang: 138760.240 | Luocha: 1856.669 | Sparkle: 0.000
Run    5: Team DPAV: 475092.547 | Sparxie: 331383.133 | YaoGuang: 140998.351 | Luocha: 1907.916 | Sparkle: 0.000
Run    6: Team DPAV: 485603.235 | Sparxie: 338157.439 | YaoGuang: 145133.162 | Luocha: 1528.457 | Sparkle: 0.000
Run    7: Team DPAV: 475492.149 | Sparxie: 327526.516 | YaoGuang: 145286.826 | Luocha: 1903.220 | Sparkle: 0.000
Run    8: Team DPAV: 480207.238 | Sparxie: 336720.255 | YaoGuang: 140847.348 | Luocha: 1936.882 | Sparkle: 0.000
Run    9: Team DPAV: 481443.321 | Sparxie: 335781.108 | YaoGuang: 143009.092 | Luocha: 1863.105 | Sparkle: 0.000
Run   10: Team DPAV: 470604.001 | Sparxie: 326096.512 | YaoGuang: 142212.268 | Luocha: 1503.886 | Sparkle: 0.000
Run   11: Team DPAV: 479781.615 | Sparxie: 335753.663 | YaoGuang: 141439.345 | Luocha: 1893.013 | Sparkle: 0.000
Run   12: Team DPAV: 479715.027 | Sparxie: 332090.151 | YaoGuang: 145288.799 | Luocha: 1574.806 | Sparkle: 0.000
Run   13: Team DPAV: 476341.787 | Sparxie: 333590.106 | YaoGuang: 140328.335 | Luocha: 1620.200 | Sparkle: 0.000
Run   14: Team DPAV: 455072.511 | Sparxie: 315240.611 | YaoGuang: 137626.884 | Luocha: 1528.457 | Sparkle: 0.000
Run   15: Team DPAV: 508896.732 | Sparxie: 356252.771 | YaoGuang: 149997.395 | Luocha: 1863.105 | Sparkle: 0.000
Run   16: Team DPAV: 456520.145 | Sparxie: 313355.936 | YaoGuang: 141059.649 | Luocha: 1469.989 | Sparkle: 0.000
Run   17: Team DPAV: 517998.621 | Sparxie: 359140.537 | YaoGuang: 156248.559 | Luocha: 1906.771 | Sparkle: 0.000
Run   18: Team DPAV: 489102.118 | Sparxie: 343754.264 | YaoGuang: 142681.602 | Luocha: 1863.105 | Sparkle: 0.000
Run   19: Team DPAV: 483395.656 | Sparxie: 340546.605 | YaoGuang: 140265.953 | Luocha: 1880.345 | Sparkle: 0.000
Run   20: Team DPAV: 456215.400 | Sparxie: 314664.286 | YaoGuang: 139282.807 | Luocha: 1626.577 | Sparkle: 0.000
Run   21: Team DPAV: 471180.756 | Sparxie: 326539.200 | YaoGuang: 141994.989 | Luocha: 1863.105 | Sparkle: 0.000
Run   22: Team DPAV: 462842.611 | Sparxie: 318532.435 | YaoGuang: 142137.001 | Luocha: 1503.886 | Sparkle: 0.000
Run   23: Team DPAV: 472202.756 | Sparxie: 327886.053 | YaoGuang: 142216.938 | Luocha: 1458.035 | Sparkle: 0.000
Run   24: Team DPAV: 460860.284 | Sparxie: 316398.789 | YaoGuang: 142268.315 | Luocha: 1558.608 | Sparkle: 0.000
Run   25: Team DPAV: 457576.079 | Sparxie: 313830.359 | YaoGuang: 141066.656 | Luocha: 1883.076 | Sparkle: 0.000
Run   26: Team DPAV: 474016.105 | Sparxie: 330053.258 | YaoGuang: 141314.196 | Luocha: 1945.898 | Sparkle: 0.000
Run   27: Team DPAV: 504349.544 | Sparxie: 354228.975 | YaoGuang: 147496.661 | Luocha: 1832.573 | Sparkle: 0.000
Run   28: Team DPAV: 505885.788 | Sparxie: 357877.680 | YaoGuang: 145308.988 | Luocha: 1895.972 | Sparkle: 0.000
Run   29: Team DPAV: 504850.545 | Sparxie: 355915.569 | YaoGuang: 146268.724 | Luocha: 1863.105 | Sparkle: 0.000
Run   30: Team DPAV: 454791.104 | Sparxie: 312765.739 | YaoGuang: 139507.052 | Luocha: 1889.714 | Sparkle: 0.000
Run   31: Team DPAV: 468623.310 | Sparxie: 324934.592 | YaoGuang: 141391.831 | Luocha: 1528.457 | Sparkle: 0.000
