Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 143023.791 | Sparxie: 131979.493 | YaoGuang: 10950.401 | Sparkle: 0.000 | HuoHuo: 11.073
Run    2: Team DPAV: 150960.818 | Sparxie: 139419.373 | YaoGuang: 11447.548 | Sparkle: 0.000 | HuoHuo: 11.073
Run    3: Team DPAV: 154836.469 | Sparxie: 142852.330 | YaoGuang: 11890.243 | Sparkle: 0.000 | HuoHuo: 11.073
Run    4: Team DPAV: 143433.401 | Sparxie: 132407.069 | YaoGuang: 10932.435 | Sparkle: 0.000 | HuoHuo: 11.073
Run    5: Team DPAV: 150110.261 | Sparxie: 138698.772 | YaoGuang: 11317.593 | Sparkle: 0.000 | HuoHuo: 11.073
Run    6: Team DPAV: 148302.451 | Sparxie: 136857.843 | YaoGuang: 11350.712 | Sparkle: 0.000 | HuoHuo: 11.073
Run    7: Team DPAV: 147860.094 | Sparxie: 136425.650 | YaoGuang: 11340.547 | Sparkle: 0.000 | HuoHuo: 11.073
Run    8: Team DPAV: 151639.601 | Sparxie: 139987.206 | YaoGuang: 11558.498 | Sparkle: 0.000 | HuoHuo: 11.073
Run    9: Team DPAV: 144208.918 | Sparxie: 132964.115 | YaoGuang: 11150.906 | Sparkle: 0.000 | HuoHuo: 11.073
Run   10: Team DPAV: 145221.951 | Sparxie: 133921.687 | YaoGuang: 11206.367 | Sparkle: 0.000 | HuoHuo: 11.073
Run   11: Team DPAV: 151039.920 | Sparxie: 139336.196 | YaoGuang: 11609.827 | Sparkle: 0.000 | HuoHuo: 11.073
Run   12: Team DPAV: 150960.604 | Sparxie: 139489.927 | YaoGuang: 11376.781 | Sparkle: 0.000 | HuoHuo: 11.073
Run   13: Team DPAV: 143926.662 | Sparxie: 132576.559 | YaoGuang: 11256.205 | Sparkle: 0.000 | HuoHuo: 11.073
Run   14: Team DPAV: 140552.649 | Sparxie: 129615.648 | YaoGuang: 10843.104 | Sparkle: 0.000 | HuoHuo: 11.073
Run   15: Team DPAV: 145419.019 | Sparxie: 134440.197 | YaoGuang: 10884.926 | Sparkle: 0.000 | HuoHuo: 11.073
Run   16: Team DPAV: 141091.144 | Sparxie: 130294.822 | YaoGuang: 10702.426 | Sparkle: 0.000 | HuoHuo: 11.073
Run   17: Team DPAV: 137884.214 | Sparxie: 126933.063 | YaoGuang: 10857.255 | Sparkle: 0.000 | HuoHuo: 11.073
Run   18: Team DPAV: 150322.934 | Sparxie: 138575.140 | YaoGuang: 11653.897 | Sparkle: 0.000 | HuoHuo: 11.073
Run   19: Team DPAV: 153347.864 | Sparxie: 141705.984 | YaoGuang: 11547.984 | Sparkle: 0.000 | HuoHuo: 11.073
Run   20: Team DPAV: 154491.942 | Sparxie: 142663.164 | YaoGuang: 11734.881 | Sparkle: 0.000 | HuoHuo: 11.073
Run   21: Team DPAV: 162120.059 | Sparxie: 150121.045 | YaoGuang: 11905.116 | Sparkle: 0.000 | HuoHuo: 11.073
Run   22: Team DPAV: 149628.039 | Sparxie: 138242.652 | YaoGuang: 11291.490 | Sparkle: 0.000 | HuoHuo: 11.073
Run   23: Team DPAV: 139861.802 | Sparxie: 128576.086 | YaoGuang: 11191.819 | Sparkle: 0.000 | HuoHuo: 11.073
Run   24: Team DPAV: 145249.446 | Sparxie: 134018.032 | YaoGuang: 11137.516 | Sparkle: 0.000 | HuoHuo: 11.073
Run   25: Team DPAV: 148754.554 | Sparxie: 137235.751 | YaoGuang: 11424.907 | Sparkle: 0.000 | HuoHuo: 11.073
Run   26: Team DPAV: 145722.426 | Sparxie: 134272.031 | YaoGuang: 11356.498 | Sparkle: 0.000 | HuoHuo: 11.073
Run   27: Team DPAV: 142782.903 | Sparxie: 132180.638 | YaoGuang: 10508.369 | Sparkle: 0.000 | HuoHuo: 11.073
Run   28: Team DPAV: 158906.758 | Sparxie: 146962.216 | YaoGuang: 11850.646 | Sparkle: 0.000 | HuoHuo: 11.073
Run   29: Team DPAV: 150906.442 | Sparxie: 139300.473 | YaoGuang: 11512.072 | Sparkle: 0.000 | HuoHuo: 11.073
Run   30: Team DPAV: 147749.502 | Sparxie: 136301.255 | YaoGuang: 11354.350 | Sparkle: 0.000 | HuoHuo: 11.073
Run   31: Team DPAV: 139955.142 | Sparxie: 129529.441 | YaoGuang: 10331.805 | Sparkle: 0.000 | HuoHuo: 11.073
Run   32: Team DPAV: 137709.144 | Sparxie: 126958.540 | YaoGuang: 10656.707 | Sparkle: 0.000 | HuoHuo: 11.073
Run   33: Team DPAV: 144543.225 | Sparxie: 133282.408 | YaoGuang: 11166.920 | Sparkle: 0.000 | HuoHuo: 11.073
Run   34: Team DPAV: 142457.617 | Sparxie: 131764.030 | YaoGuang: 10599.690 | Sparkle: 0.000 | HuoHuo: 11.073
Run   35: Team DPAV: 151232.596 | Sparxie: 139303.728 | YaoGuang: 11834.971 | Sparkle: 0.000 | HuoHuo: 11.073
Run   36: Team DPAV: 146183.272 | Sparxie: 134919.945 | YaoGuang: 11169.430 | Sparkle: 0.000 | HuoHuo: 11.073
Run   37: Team DPAV: 151533.480 | Sparxie: 139948.583 | YaoGuang: 11491.000 | Sparkle: 0.000 | HuoHuo: 11.073
Run   38: Team DPAV: 144027.407 | Sparxie: 132821.085 | YaoGuang: 11112.426 | Sparkle: 0.000 | HuoHuo: 11.073
Run   39: Team DPAV: 152414.471 | Sparxie: 140727.107 | YaoGuang: 11593.467 | Sparkle: 0.000 | HuoHuo: 11.073
Run   40: Team DPAV: 144064.431 | Sparxie: 132887.517 | YaoGuang: 11083.017 | Sparkle: 0.000 | HuoHuo: 11.073
Run   41: Team DPAV: 153529.583 | Sparxie: 141527.782 | YaoGuang: 11907.904 | Sparkle: 0.000 | HuoHuo: 11.073
Run   42: Team DPAV: 144910.996 | Sparxie: 133674.907 | YaoGuang: 11142.192 | Sparkle: 0.000 | HuoHuo: 11.073
Run   43: Team DPAV: 138335.226 | Sparxie: 127493.738 | YaoGuang: 10747.591 | Sparkle: 0.000 | HuoHuo: 11.073
Run   44: Team DPAV: 154499.988 | Sparxie: 142792.336 | YaoGuang: 11613.755 | Sparkle: 0.000 | HuoHuo: 11.073
Run   45: Team DPAV: 148385.687 | Sparxie: 136948.448 | YaoGuang: 11343.342 | Sparkle: 0.000 | HuoHuo: 11.073
Run   46: Team DPAV: 139054.188 | Sparxie: 128127.529 | YaoGuang: 10832.763 | Sparkle: 0.000 | HuoHuo: 11.073
Run   47: Team DPAV: 150525.623 | Sparxie: 139065.065 | YaoGuang: 11366.662 | Sparkle: 0.000 | HuoHuo: 11.073
Run   48: Team DPAV: 152461.389 | Sparxie: 140856.129 | YaoGuang: 11511.363 | Sparkle: 0.000 | HuoHuo: 11.073
Run   49: Team DPAV: 157210.992 | Sparxie: 145347.783 | YaoGuang: 11769.313 | Sparkle: 0.000 | HuoHuo: 11.073
Run   50: Team DPAV: 147709.690 | Sparxie: 136344.301 | YaoGuang: 11271.492 | Sparkle: 0.000 | HuoHuo: 11.073
Run   51: Team DPAV: 152972.953 | Sparxie: 141527.403 | YaoGuang: 11351.653 | Sparkle: 0.000 | HuoHuo: 11.073
Run   52: Team DPAV: 154132.945 | Sparxie: 142257.283 | YaoGuang: 11781.766 | Sparkle: 0.000 | HuoHuo: 11.073
Run   53: Team DPAV: 143044.688 | Sparxie: 131973.679 | YaoGuang: 10977.112 | Sparkle: 0.000 | HuoHuo: 11.073
Run   54: Team DPAV: 155308.614 | Sparxie: 143555.201 | YaoGuang: 11659.516 | Sparkle: 0.000 | HuoHuo: 11.073
